mark
62
63
36
70
78
87
77
77
82
65
19
93
14
79
82
89
75
85
80
80
95
82
82
75
86
66
87
86
70
88
77
89
74
91
31
77
89
38
82
78
69
59
84
88
92
94
76
46
77
77
81
86
81
81
61
90
62
84
95
84
70
82
84
73
87
52
84
76
78
75
77
87
83
73
78
67
87
81
96
58
14
46
89
33
84
76
31
86
46
81
75
85
72
38
48
54
52
29
