mark
77
88
78
60
90
78
85
95
26
84
96
75
83
100
87
88
92
90
81
78
93
100
75
87
92
76
80
85
98
83
65
72
83
75
95
80
96
83
89
83
84
74
90
77
87
45
96
95
93
84
99
91
74
84
64
66
96
83
81
81
91
69
86
71
92
92
91
89
75
93
93
98
92
26
92
98
62
98
93
70
71
81
92
96
80
68
74
69
91
88
87
61
79
95
97
90
92
93
88
72
97
90
99
74
97
66
72
75
65
96
76
74
