mark
99
79
62
70
70
87
86
41
65
98
93
95
87
74
96
93
92
75
98
76
71
81
93
93
93
91
91
85
69
89
77
94
95
93
66
88
90
67
97
86
91
98
89
74
87
87
73
88
98
88
91
79
87
87
91
71
88
83
88
85
91
0
90
92
88
93
70
70
87
95
91
88
97
85
88
93
94
88
83
93
86
95
85
78
90
68
93
94
89
95
98
79
84
94
79
89
93
66
68
91
90
98
91
96
94
86
92
91
73
88
84
80
93
90
93
90
95
91
90
91
89
88
0
78
84
97
68
89
78
67
89
90
74
90
90
95
85
92
94
79
95
85
93
78
88
91
77
96
77
93
84
93
78
83
95
80
93
89
90
74
93
96
91
98
83
95
95
84
93
70
74
85
88
86
96
94
75
90
73
95
85
95
81
80
68
93
70
0
89
