"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,          30,      -5.176466715,      -3.084830421,      -3.221217188,      -3.367026298,     -0.5777412995,      -2.321534261,    -0.03907528664,   7.964546206e-11,   8.870148317e-05,                 1,                 1,                 1
          0,           0,          31,      -5.176323692,      -3.080540478,      -3.221016765,      -3.366982523,     -0.5688218163,      -2.321690778,    -0.03917998646,   7.964510182e-11,   8.870147421e-05,                 1,                 1,                 1
          0,           0,          32,      -5.176112671,      -3.076594964,       -3.22050099,      -3.366316828,     -0.5579641599,      -2.321859263,    -0.03926758927,   7.964474166e-11,   8.870146526e-05,                 1,                 1,                 1
          0,           0,          33,      -5.175826523,      -3.072983172,       -3.21958412,      -3.364968012,     -0.5447073808,      -2.322033788,    -0.03934473566,   7.964438159e-11,    8.87014563e-05,                 1,                 1,                 1
          0,           0,          34,      -5.175605257,      -3.069409598,      -3.218111836,       -3.36287515,     -0.5354830517,      -2.322208845,    -0.03948625507,    7.96440216e-11,   8.870144735e-05,                 1,                 1,                 1
          0,           0,          35,      -5.175460131,      -3.065508169,      -3.215871346,      -3.359214573,     -0.5300080922,      -2.322379232,    -0.03963300139,   7.964366169e-11,    8.87014384e-05,                 1,                 1,                 1
          0,           0,          36,      -5.175285902,      -3.062399708,      -3.213783142,       -3.35627693,     -0.5230134437,       -2.32254036,    -0.03966166295,   7.964330186e-11,   8.870142945e-05,                 1,                 1,                 1
          0,           0,          37,      -5.175054985,      -3.059984596,      -3.211751099,      -3.353724305,     -0.5141876468,      -2.322688426,    -0.03975829137,   7.964294213e-11,   8.870142049e-05,                 1,                 1,                 1
          0,           0,          38,      -5.174769135,      -3.057596301,      -3.209216385,      -3.350095929,     -0.5031916538,      -2.322820405,    -0.03990258333,   7.964258248e-11,   8.870141154e-05,                 1,                 1,                 1
          0,           0,          39,      -5.174438706,      -3.055404838,      -3.206432059,      -3.346170141,     -0.4900301429,        -2.3229335,    -0.04001574452,   7.964222291e-11,   8.870140258e-05,                 1,                 1,                 1
          0,           0,          40,      -5.174109951,      -3.053280013,       -3.20333933,      -3.341912644,     -0.4768413216,      -2.323025459,    -0.04009211957,   7.964186342e-11,   8.870139361e-05,                 1,                 1,                 1
          0,           0,          41,      -5.173818847,      -3.051109319,      -3.200012594,      -3.337413154,     -0.4650089367,      -2.323094969,     -0.0402363328,   7.964150403e-11,   8.870138465e-05,                 1,                 1,                 1
          0,           0,          42,      -5.173551696,      -3.048742217,      -3.196472297,      -3.332517213,     -0.4540502656,      -2.323141753,    -0.04044897904,   7.964114472e-11,   8.870137567e-05,                 1,                 1,                 1
          0,           0,          43,       -5.17331195,      -3.046462785,      -3.192785737,      -3.327331102,      -0.444073878,      -2.323166202,     -0.0405842301,   7.964078549e-11,   8.870136669e-05,                 1,                 1,                 1
          0,           0,          44,      -5.173105202,      -3.044270537,       -3.18894672,      -3.322059109,     -0.4351906619,      -2.323169327,    -0.04078335975,   7.964042636e-11,    8.87013577e-05,                 1,                 1,                 1
          0,           0,          45,      -5.172930344,      -3.042065531,      -3.185036373,      -3.316747349,     -0.4273647809,      -2.323152736,     -0.0409548214,   7.964006732e-11,    8.87013487e-05,                 1,                 1,                 1
          0,           0,          46,      -5.172748378,      -3.039689372,      -3.181054522,      -3.311478781,     -0.4194791026,      -2.323118517,    -0.04115362402,   7.963970837e-11,   8.870133969e-05,                 1,                 1,                 1
